	Amsterdam	Athínai	Barcelona	Basel	Beograd	Berlin	Bern	Bordeaux	Bratislava	Brindisi	Bruxelles	Bucuresti	Budapest	Calais	Dublin	Edinburgh	Esbjerg	Frankfurt am Main	Frederikshavn	Genève	Genova	Hamburg	Hammerfest	Helsinki	Hoek v. Holland	Innsbruck	Istanbul	Köln	København	Lisboa	Ljubljana	London	Luxembourg	Madrid	Málaga	Marseille	Milano	Moskva	München	Oslo	Palermo	Paris	Praha	Puttgarden	Roma	Sassnitz	Sofija	Stockholm	Tallinn	Trieste	Wien	Warszawa	Zagreb	Zürich
Oslo	1370	3460	2720	1750	2300	1000	1840	2410	1670	3100	1530	2734	1962	1740	2470	2560	550	1420	inf	1990	2270	930	2100	980	1450	1850	3280	1360	610	3640	1780	1920	1560	3100	3780	2380	2130	1910	1670	0	3570	1850	1350	800	2610	750	2720	540	670	2230	1660	1490	1920	1833
Palermo	2690	3340	2370	1930	2170	2450	1900	2500	2100	630	2480	2760	2210	2680	3320	3410	2920	2240	3160	1880	1470	2640	5440	4030	2660	1720	3150	2430	2960	3650	1650	2770	2260	3000	3430	1870	1550	4000	1880	3570	0	2360	2250	2790	960	2740	2560	3590	3780	1540	2030	2720	1780	1850
Paris	510	2940	1110	490	1780	1090	550	560	1270	1790	300	2447	1561	290	1000	1090	1200	571	1440	571	940	920	3720	2310	480	860	2750	490	1240	1792	1340	450	340	1250	1830	770	820	2956	831	1850	2360	0	1000	1070	1400	1230	2170	1870	2680	1240	1200	1620	1470	581
Praha	910	2130	1690	730	969	340	780	1540	320	1800	911	1460	574	1120	1860	1950	910	500	1150	948	1030	630	3220	1810	990	530	1890	700	740	2910	690	1310	730	2310	2750	1360	870	1897	380	1350	2250	1000	0	780	1290	630	1360	1370	1680	720	320	620	660	667
Puttgarden	590	2920	1940	970	1750	440	1060	1630	1100	2320	750	2180	1350	960	1690	1780	360	640	570	1170	1490	150	2670	1260	660	1070	2710	580	190	2860	1230	1140	780	2320	2900	1600	1350	2280	930	800	2790	1070	780	0	1830	320	2140	820	1080	1130	1100	1000	1370	1050
Roma	1730	2450	1410	970	1280	1490	940	1540	1210	580	1520	2034	1349	1720	2360	2450	1960	1280	2200	910	510	1680	4480	3070	1760	760	2260	1470	2000	2690	760	1810	1300	2040	2470	910	590	3110	925	2610	960	1400	1290	1830	0	1780	1670	2630	2890	660	1140	1830	900	888
Sassnitz	600	2760	2100	1130	1600	290	1220	1790	950	2300	910	2320	1490	1130	1850	1940	590	800	760	1370	1420	310	2850	1210	830	1020	2580	740	160	3020	1080	1300	940	2480	3060	1760	1300	2040	890	750	2740	1230	630	320	1780	0	1990	770	1030	1010	980	760	1220	1000
Sofija	2190	820	2470	1770	390	1700	1720	2430	1040	2070	2060	427	777	2250	2970	3060	2270	1740	2510	1760	1570	1990	4590	3180	2220	1300	590	1930	2070	3750	900	2420	1820	3070	3530	1970	1430	2345	1350	2720	2560	2170	1360	2140	1670	1990	0	2740	2530	2260	1040	1470	770	1672
Stockholm	1390	3470	2740	1770	2320	1020	1860	2430	1690	3120	1550	2764	1992	1760	2490	2580	920	1440	1120	2010	2290	950	1850	inf	1470	1870	3300	1380	630	3660	1800	1940	1580	3120	3800	2400	2150	1370	1715	540	3590	1870	1370	820	2630	770	2740	0	inf	1700	1680	1510	1940	1863
Tallinn	2280	3310	3510	2410	2140	1620	2460	3360	1680	3430	2400	2270	1740	2610	3340	3430	1040	2160	700	2610	2710	1910	1470	inf	2360	2210	3000	2190	770	4590	2190	2790	2410	3990	4570	3040	2570	1050	2200	670	3780	2680	1680	1080	2890	1030	2530	inf	0	3210	1750	1060	2050	2330
Trieste	1360	1790	1440	770	620	1090	770	1420	520	1100	1250	1210	560	1460	2170	2270	1260	900	1500	740	550	1300	1500	2700	1230	480	1600	1090	1640	2710	100	1620	1030	2060	2500	960	420	2310	510	2230	1540	1240	720	1130	660	1010	2260	1700	3210	0	500	1190	240	710
Wien	1160	1810	1760	840	650	660	860	1720	70	1680	1120	1151	265	1360	2060	2150	1230	720	1470	1010	970	950	3530	2120	1200	460	1570	910	1040	3000	350	1510	930	2380	2820	1370	820	1970	446	1660	2030	1200	320	1100	1140	980	1040	1680	1750	500	0	690	990	748
Warszawa	1220	2250	2450	1350	1080	560	1400	2300	620	2370	1340	1181	674	1550	2280	2370	1130	1100	1370	1550	1650	850	3360	1950	1300	1150	1940	1130	970	3530	1130	1730	1350	2930	3510	1980	1510	1280	1140	1490	2720	1620	620	1000	1830	760	1470	1510	1060	1190	690	0	370	1298
Zagreb	1410	1560	1680	1000	390	1440	920	1650	440	1420	1480	970	330	1700	2400	2500	1500	970	1740	980	790	1210	3790	2370	1460	520	1360	1330	1300	2950	140	1650	1050	2300	2740	1200	660	2270	570	1920	1780	1470	660	1370	900	1220	770	1940	2050	240	990	370	0	950
Zürich	880	2599	1050	90	1290	845	130	990	820	1290	659	2003	1013	840	1567	1620	1210	440	1450	281	410	932	3730	2223	840	290	2270	560	1239	2228	810	1033	443	1696	2120	675	300	2564	302	1833	1850	581	667	1050	888	1000	1672	1863	2330	710	748	1298	950	0
